Date,EquipmentID,TotalPartsProduced,GoodPartsProduced,DowntimeHours,OperatingHours,IdealCycleTime_s
2024-01-26,CV001,765,734,0.0,24.0,110
2024-01-26,DR001,670,660,0.0,24.0,120
2024-01-26,WL001,668,655,0.0,24.0,118
2024-01-27,EX001,677,669,0.0,24.0,122
2024-01-27,DT001,524,505,4.39,19.61,128
2024-01-27,CR001,677,661,0.0,24.0,121
2024-01-27,CV001,608,596,0.0,24.0,130
2024-01-27,DR001,658,631,0.0,24.0,128
2024-01-27,WL001,657,650,0.0,24.0,127
2024-01-28,EX001,702,670,0.0,24.0,117
2024-01-28,DT001,698,683,0.0,24.0,118
2024-01-28,CR001,641,627,0.0,24.0,130
2024-01-28,CV001,682,660,0.0,24.0,119
2024-01-28,DR001,724,701,0.0,24.0,116
2024-01-28,WL001,665,655,0.0,24.0,121
2024-01-29,EX001,719,700,0.0,24.0,113
2024-01-29,DT001,649,620,0.0,24.0,127
2024-01-29,CR001,629,610,0.0,24.0,125
2024-01-29,CV001,663,656,0.0,24.0,123
2024-01-29,DR001,724,712,0.0,24.0,116
2024-01-29,WL001,658,627,0.0,24.0,120
2024-01-30,EX001,624,615,0.0,24.0,129
2024-01-30,DT001,641,609,0.0,24.0,129
2024-01-30,CR001,689,668,0.0,24.0,117
2024-01-30,CV001,691,682,0.0,24.0,121
2024-01-30,DR001,709,691,0.0,24.0,117
2024-01-30,WL001,38,36,22.66,1.34,118
2024-01-31,EX001,639,615,0.0,24.0,128
2024-01-31,DT001,674,667,0.0,24.0,121
2024-01-31,CR001,648,637,0.0,24.0,121
2024-01-31,CV001,648,626,0.0,24.0,130
2024-01-31,DR001,707,694,0.0,24.0,113
2024-01-31,WL001,652,624,0.0,24.0,128
2024-02-01,EX001,616,603,0.0,24.0,128
2024-02-01,DT001,676,644,0.0,24.0,122
2024-02-01,CR001,698,678,0.0,24.0,120
2024-02-01,CV001,638,629,0.0,24.0,123
2024-02-01,DR001,659,646,0.0,24.0,126
2024-02-01,WL001,762,728,0.0,24.0,110
2024-02-02,EX001,754,717,0.0,24.0,112
2024-02-02,DT001,0,0,28.71,0.0,122
2024-02-02,CR001,637,618,0.0,24.0,127
2024-02-02,CV001,679,656,0.0,24.0,115
2024-02-02,DR001,653,620,0.0,24.0,123
2024-02-02,WL001,716,699,0.0,24.0,115
2024-02-03,EX001,471,456,7.59,16.41,119
2024-02-03,DT001,760,743,0.0,24.0,110
2024-02-03,CR001,635,609,0.0,24.0,128
2024-02-03,CV001,705,684,0.0,24.0,111
2024-02-03,DR001,638,618,0.0,24.0,129
2024-02-03,WL001,646,628,0.0,24.0,126
2024-02-04,EX001,687,662,0.0,24.0,123
2024-02-04,DT001,694,675,0.0,24.0,114
2024-02-04,CR001,607,586,0.0,24.0,130
2024-02-04,CV001,642,625,0.0,24.0,121
2024-02-04,DR001,646,639,0.0,24.0,121
2024-02-04,WL001,661,632,0.0,24.0,124
2024-02-05,EX001,704,671,0.0,24.0,117
2024-02-05,DT001,707,703,0.0,24.0,111
2024-02-05,CR001,635,620,0.0,24.0,129
2024-02-05,CV001,710,691,0.0,24.0,119
2024-02-05,DR001,675,667,0.0,24.0,117
2024-02-05,WL001,669,641,0.0,24.0,124
2024-02-06,EX001,702,690,0.0,24.0,112
2024-02-06,DT001,116,114,19.42,4.58,130
2024-02-06,CR001,623,598,0.0,24.0,126
2024-02-06,CV001,697,673,0.0,24.0,114
2024-02-06,DR001,710,675,0.0,24.0,118
2024-02-06,WL001,669,642,0.0,24.0,117
2024-02-07,EX001,707,673,0.0,24.0,116
2024-02-07,DT001,692,685,0.0,24.0,118
2024-02-07,CR001,688,674,0.0,24.0,116
2024-02-07,CV001,681,674,0.0,24.0,116
2024-02-07,DR001,664,647,0.0,24.0,122
2024-02-07,WL001,624,615,0.0,24.0,129
2024-02-08,EX001,687,681,0.0,24.0,119
2024-02-08,DT001,730,693,0.0,24.0,112
2024-02-08,CR001,648,626,0.0,24.0,128
2024-02-08,CV001,636,606,0.0,24.0,128
2024-02-08,DR001,0,0,34.77,0.0,122
2024-02-08,WL001,678,671,0.0,24.0,117
2024-02-09,EX001,665,636,0.0,24.0,118
2024-02-09,DT001,716,686,0.0,24.0,117
2024-02-09,CR001,688,681,0.0,24.0,120
2024-02-09,CV001,648,638,0.0,24.0,124
2024-02-09,DR001,668,659,0.0,24.0,126
2024-02-09,WL001,590,568,2.6,21.4,121
2024-02-10,EX001,704,672,0.0,24.0,111
2024-02-10,DT001,660,639,0.0,24.0,123
2024-02-10,CR001,735,709,0.0,24.0,111
2024-02-10,CV001,604,584,0.0,24.0,130
2024-02-10,DR001,0,0,34.03,0.0,128
2024-02-10,WL001,723,690,0.0,24.0,114
2024-02-11,EX001,701,668,0.0,24.0,117
2024-02-11,DT001,614,584,0.0,24.0,128
2024-02-11,CR001,621,605,0.0,24.0,130
2024-02-11,CV001,696,686,0.0,24.0,116
2024-02-11,DR001,634,606,0.0,24.0,125
2024-02-11,WL001,81,79,21.2,2.8,112
2024-02-12,EX001,658,648,0.0,24.0,124
2024-02-12,DT001,622,598,3.29,20.71,112
2024-02-12,CR001,726,699,0.0,24.0,113
2024-02-12,CV001,733,716,0.0,24.0,114
2024-02-12,DR001,705,700,0.0,24.0,112
2024-02-12,WL001,666,656,0.0,24.0,123
2024-02-13,EX001,649,623,0.0,24.0,127
2024-02-13,DT001,670,643,0.0,24.0,126
2024-02-13,CR001,521,503,5.55,18.45,124
2024-02-13,CV001,723,692,0.0,24.0,116
2024-02-13,DR001,737,704,0.0,24.0,113
2024-02-13,WL001,752,745,0.0,24.0,112
2024-02-14,EX001,621,614,0.0,24.0,129
2024-02-14,DT001,673,641,0.0,24.0,118
2024-02-14,CR001,669,647,0.0,24.0,124
2024-02-14,CV001,620,591,0.0,24.0,129
2024-02-14,DR001,664,643,0.0,24.0,117
2024-02-14,WL001,671,655,0.0,24.0,125
2024-02-15,EX001,709,689,0.0,24.0,116
2024-02-15,DT001,737,720,0.0,24.0,113
2024-02-15,CR001,291,287,14.28,9.72,112
2024-02-15,CV001,655,632,0.0,24.0,124
2024-02-15,DR001,606,594,0.0,24.0,130
2024-02-15,WL001,640,613,0.0,24.0,130
2024-02-16,EX001,659,629,0.0,24.0,119
2024-02-16,DT001,624,601,0.0,24.0,127
2024-02-16,CR001,700,673,0.0,24.0,114
2024-02-16,CV001,696,662,0.0,24.0,121
2024-02-16,DR001,684,660,0.0,24.0,120
2024-02-16,WL001,655,649,0.0,24.0,128
2024-02-17,EX001,669,665,0.0,24.0,118
2024-02-17,DT001,637,616,0.0,24.0,129
2024-02-17,CR001,759,742,0.0,24.0,110
2024-02-17,CV001,525,518,5.26,18.74,121
2024-02-17,DR001,620,597,0.0,24.0,127
2024-02-17,WL001,724,718,0.0,24.0,114
2024-02-18,EX001,738,711,0.0,24.0,113
2024-02-18,DT001,504,494,6.48,17.52,118
2024-02-18,CR001,634,626,0.0,24.0,129
2024-02-18,CV001,728,709,0.0,24.0,116
2024-02-18,DR001,737,716,0.0,24.0,113
2024-02-18,WL001,727,701,0.0,24.0,112
2024-02-19,EX001,690,659,0.0,24.0,120
2024-02-19,DT001,613,592,0.0,24.0,129
2024-02-19,CR001,680,674,0.0,24.0,123
2024-02-19,CV001,633,616,0.0,24.0,123
2024-02-19,DR001,704,694,0.0,24.0,113
2024-02-19,WL001,701,666,0.0,24.0,115
2024-02-20,EX001,679,658,0.0,24.0,117
2024-02-20,DT001,728,695,0.0,24.0,116
2024-02-20,CR001,271,267,14.75,9.25,114
2024-02-20,CV001,701,690,0.0,24.0,120
2024-02-20,DR001,648,644,0.0,24.0,130
2024-02-20,WL001,742,736,0.0,24.0,111
2024-02-21,EX001,678,669,0.0,24.0,120
2024-02-21,DT001,636,629,0.0,24.0,127
2024-02-21,CR001,667,650,0.0,24.0,117
2024-02-21,CV001,708,681,0.0,24.0,112
2024-02-21,DR001,685,650,0.0,24.0,118
2024-02-21,WL001,664,642,0.0,24.0,127
2024-02-22,EX001,639,635,0.0,24.0,129
2024-02-22,DT001,698,672,0.0,24.0,121
2024-02-22,CR001,679,645,0.0,24.0,123
2024-02-22,CV001,605,598,3.44,20.56,116
2024-02-22,DR001,750,744,0.0,24.0,111
2024-02-22,WL001,732,696,0.0,24.0,112
2024-02-23,EX001,659,653,0.0,24.0,124
2024-02-23,DT001,702,684,0.0,24.0,113
2024-02-23,CR001,647,622,0.0,24.0,122
2024-02-23,CV001,681,671,0.0,24.0,119
2024-02-23,DR001,642,611,0.0,24.0,124
2024-02-23,WL001,744,712,0.0,24.0,113
2024-02-24,EX001,682,656,0.0,24.0,119
2024-02-24,DT001,646,640,0.0,24.0,129
2024-02-24,CR001,747,723,0.0,24.0,112
2024-02-24,CV001,665,657,0.0,24.0,127
2024-02-24,DR001,653,633,0.0,24.0,121
2024-02-24,WL001,680,654,0.0,24.0,120
2024-02-25,EX001,680,666,0.0,24.0,120
2024-02-25,DT001,689,663,0.0,24.0,115
2024-02-25,CR001,719,704,0.0,24.0,114
2024-02-25,CV001,617,598,0.0,24.0,128
2024-02-25,DR001,749,732,0.0,24.0,111
2024-02-25,WL001,695,665,0.0,24.0,115
2024-02-26,EX001,678,664,0.0,24.0,119
2024-02-26,DT001,656,647,0.0,24.0,128
2024-02-26,CR001,644,612,0.0,24.0,123
2024-02-26,CV001,756,723,0.0,24.0,111
2024-02-26,DR001,552,525,5.52,18.48,111
2024-02-26,WL001,688,672,0.0,24.0,116
2024-02-27,EX001,709,694,0.0,24.0,118
2024-02-27,DT001,677,643,0.0,24.0,124
2024-02-27,CR001,766,732,0.0,24.0,110
2024-02-27,CV001,609,597,0.0,24.0,130
2024-02-27,DR001,676,650,0.0,24.0,121
2024-02-27,WL001,676,665,0.0,24.0,117
2024-02-28,EX001,738,729,0.0,24.0,110
2024-02-28,DT001,717,683,0.0,24.0,111
2024-02-28,CR001,626,608,0.0,24.0,126
2024-02-28,CV001,716,704,0.0,24.0,111
2024-02-28,DR001,687,665,0.0,24.0,119
2024-02-28,WL001,707,698,0.0,24.0,111
2024-02-29,EX001,628,600,0.0,24.0,127
2024-02-29,DT001,698,692,0.0,24.0,114
2024-02-29,CR001,687,659,0.0,24.0,123
2024-02-29,CV001,634,610,0.0,24.0,125
2024-02-29,DR001,645,639,0.0,24.0,126
2024-02-29,WL001,704,679,0.0,24.0,118
2024-03-01,EX001,694,681,0.0,24.0,114
2024-03-01,DT001,669,661,0.0,24.0,126
2024-03-01,CR001,0,0,42.38,0.0,113
2024-03-01,CV001,673,653,0.0,24.0,125
2024-03-01,DR001,682,656,0.0,24.0,120
2024-03-01,WL001,684,652,0.0,24.0,118
2024-03-02,EX001,697,688,0.0,24.0,113
2024-03-02,DT001,664,649,0.0,24.0,119
2024-03-02,CR001,436,432,7.54,16.46,125
2024-03-02,CV001,677,648,0.0,24.0,123
2024-03-02,DR001,694,687,0.0,24.0,120
2024-03-02,WL001,682,659,0.0,24.0,117
2024-03-03,EX001,677,660,0.0,24.0,122
2024-03-03,DT001,612,592,0.0,24.0,129
2024-03-03,CR001,704,678,0.0,24.0,118
2024-03-03,CV001,619,597,0.0,24.0,129
2024-03-03,DR001,695,691,0.0,24.0,120
2024-03-03,WL001,609,596,0.0,24.0,130
2024-03-04,EX001,670,648,0.0,24.0,126
2024-03-04,DT001,688,658,0.0,24.0,122
2024-03-04,CR001,695,679,0.0,24.0,114
2024-03-04,CV001,699,665,0.0,24.0,119
2024-03-04,DR001,662,644,0.0,24.0,118
2024-03-04,WL001,704,692,0.0,24.0,111
2024-03-05,EX001,706,695,0.0,24.0,111
2024-03-05,DT001,720,696,0.0,24.0,114
2024-03-05,CR001,710,704,0.0,24.0,116
2024-03-05,CV001,557,547,4.07,19.93,126
2024-03-05,DR001,740,706,0.0,24.0,112
2024-03-05,WL001,642,618,0.0,24.0,124
2024-03-06,EX001,655,633,0.0,24.0,121
2024-03-06,DT001,675,659,0.0,24.0,124
2024-03-06,CR001,662,657,0.0,24.0,123
2024-03-06,CV001,642,618,0.0,24.0,123
2024-03-06,DR001,720,704,0.0,24.0,115
2024-03-06,WL001,654,643,0.0,24.0,124
2024-03-07,EX001,622,602,0.0,24.0,130
2024-03-07,DT001,736,719,0.0,24.0,110
2024-03-07,CR001,660,627,0.0,24.0,128
2024-03-07,CV001,707,680,0.0,24.0,112
2024-03-07,DR001,360,345,11.36,12.64,116
2024-03-07,WL001,708,677,0.0,24.0,112
2024-03-08,EX001,693,671,0.0,24.0,114
2024-03-08,DT001,624,595,0.0,24.0,130
2024-03-08,CR001,144,139,18.32,5.68,128
2024-03-08,CV001,632,623,0.0,24.0,126
2024-03-08,DR001,684,653,0.0,24.0,117
2024-03-08,WL001,672,646,0.0,24.0,119
2024-03-09,EX001,608,583,0.0,24.0,130
2024-03-09,DT001,629,602,0.0,24.0,130
2024-03-09,CR001,715,685,0.0,24.0,110
2024-03-09,CV001,734,726,0.0,24.0,115
2024-03-09,DR001,684,677,0.0,24.0,122
2024-03-09,WL001,613,597,0.0,24.0,130
2024-03-10,EX001,643,615,0.0,24.0,123
2024-03-10,DT001,677,662,0.0,24.0,122
2024-03-10,CR001,628,600,2.95,21.05,111
2024-03-10,CV001,744,727,0.0,24.0,113
2024-03-10,DR001,678,644,0.0,24.0,117
2024-03-10,WL001,654,630,0.0,24.0,119
2024-03-11,EX001,707,691,0.0,24.0,115
2024-03-11,DT001,702,696,0.0,24.0,119
2024-03-11,CR001,741,723,0.0,24.0,110
2024-03-11,CV001,704,696,0.0,24.0,112
2024-03-11,DR001,655,625,0.0,24.0,126
2024-03-11,WL001,519,501,6.0,18.0,119
2024-03-12,EX001,710,699,0.0,24.0,111
2024-03-12,DT001,719,712,0.0,24.0,114
2024-03-12,CR001,683,674,2.47,21.53,111
2024-03-12,CV001,703,668,0.0,24.0,114
2024-03-12,DR001,615,607,0.0,24.0,129
2024-03-12,WL001,638,619,0.0,24.0,129
2024-03-13,EX001,647,616,0.0,24.0,127
2024-03-13,DT001,659,644,0.0,24.0,127
2024-03-13,CR001,638,633,0.0,24.0,123
2024-03-13,CV001,719,696,0.0,24.0,114
2024-03-13,DR001,735,708,0.0,24.0,110
2024-03-13,WL001,671,639,0.0,24.0,123
2024-03-14,EX001,712,703,0.0,24.0,118
2024-03-14,DT001,682,657,0.0,24.0,119
2024-03-14,CR001,702,682,0.0,24.0,113
2024-03-14,CV001,682,664,0.0,24.0,119
2024-03-14,DR001,0,0,42.82,0.0,128
2024-03-14,WL001,699,664,0.0,24.0,118
2024-03-15,EX001,665,649,0.0,24.0,127
2024-03-15,DT001,731,705,0.0,24.0,110
2024-03-15,CR001,704,679,0.0,24.0,116
2024-03-15,CV001,687,680,0.0,24.0,117
2024-03-15,DR001,608,601,0.0,24.0,129
2024-03-15,WL001,630,613,0.0,24.0,130
2024-03-16,EX001,695,668,0.0,24.0,115
2024-03-16,DT001,678,669,0.0,24.0,119
2024-03-16,CR001,709,704,0.0,24.0,112
2024-03-16,CV001,116,112,19.72,4.28,126
2024-03-16,DR001,672,649,0.0,24.0,116
2024-03-16,WL001,704,700,0.0,24.0,114
2024-03-17,EX001,692,677,0.0,24.0,118
2024-03-17,DT001,638,610,0.0,24.0,130
2024-03-17,CR001,687,675,0.0,24.0,123
2024-03-17,CV001,631,606,0.0,24.0,128
2024-03-17,DR001,727,708,0.0,24.0,116
2024-03-17,WL001,678,664,0.0,24.0,116
2024-03-18,EX001,613,595,0.0,24.0,129
2024-03-18,DT001,720,714,0.0,24.0,112
2024-03-18,CR001,620,610,0.0,24.0,128
2024-03-18,CV001,711,688,0.0,24.0,113
2024-03-18,DR001,750,733,0.0,24.0,111
2024-03-18,WL001,680,666,0.0,24.0,116
2024-03-19,EX001,705,669,0.0,24.0,115
2024-03-19,DT001,734,705,0.0,24.0,113
2024-03-19,CR001,335,331,11.27,12.73,130
2024-03-19,CV001,717,692,0.0,24.0,118
2024-03-19,DR001,628,606,0.0,24.0,128
2024-03-19,WL001,659,638,0.0,24.0,120
2024-03-20,EX001,757,727,0.0,24.0,111
2024-03-20,DT001,656,646,0.0,24.0,127
2024-03-20,CR001,710,688,0.0,24.0,110
2024-03-20,CV001,660,648,0.0,24.0,128
2024-03-20,DR001,665,647,0.0,24.0,122
2024-03-20,WL001,570,543,3.28,20.72,127
2024-03-21,EX001,711,689,0.0,24.0,112
2024-03-21,DT001,665,657,0.0,24.0,117
2024-03-21,CR001,706,672,0.0,24.0,118
2024-03-21,CV001,680,667,0.0,24.0,117
2024-03-21,DR001,725,690,0.0,24.0,113
2024-03-21,WL001,691,680,0.0,24.0,122
2024-03-22,EX001,659,632,0.0,24.0,125
2024-03-22,DT001,623,591,0.0,24.0,129
2024-03-22,CR001,522,496,5.88,18.12,115
2024-03-22,CV001,716,686,0.0,24.0,117
2024-03-22,DR001,735,728,0.0,24.0,111
2024-03-22,WL001,714,705,0.0,24.0,115
2024-03-23,EX001,659,633,0.0,24.0,128
2024-03-23,DT001,674,654,0.0,24.0,116
2024-03-23,CR001,732,721,0.0,24.0,114
2024-03-23,CV001,647,617,0.0,24.0,124
2024-03-23,DR001,492,469,5.44,18.56,123
2024-03-23,WL001,697,664,0.0,24.0,115
2024-03-24,EX001,698,688,0.0,24.0,121
2024-03-24,DT001,739,709,0.0,24.0,113
2024-03-24,CR001,756,733,0.0,24.0,110
2024-03-24,CV001,674,645,0.0,24.0,123
2024-03-24,DR001,630,598,0.0,24.0,126
2024-03-24,WL001,744,706,0.0,24.0,112
2024-03-25,EX001,614,584,0.0,24.0,130
2024-03-25,DT001,728,699,0.0,24.0,115
2024-03-25,CR001,665,636,0.0,24.0,120
2024-03-25,CV001,692,685,0.0,24.0,113
2024-03-25,DR001,704,680,0.0,24.0,113
2024-03-25,WL001,509,490,6.2,17.8,115
2024-03-26,EX001,693,672,0.0,24.0,115
2024-03-26,DT001,697,677,0.0,24.0,115
2024-03-26,CR001,645,614,0.0,24.0,125
2024-03-26,CV001,667,658,0.0,24.0,126
2024-03-26,DR001,639,620,0.0,24.0,125
2024-03-26,WL001,753,716,0.0,24.0,112
2024-03-27,EX001,536,516,4.95,19.05,125
2024-03-27,DT001,622,618,0.0,24.0,125
2024-03-27,CR001,624,606,0.0,24.0,125
2024-03-27,CV001,708,684,0.0,24.0,117
2024-03-27,DR001,682,677,0.0,24.0,122
2024-03-27,WL001,637,632,0.0,24.0,130
2024-03-28,EX001,688,662,0.0,24.0,120
2024-03-28,DT001,680,664,0.0,24.0,121
2024-03-28,CR001,680,648,0.0,24.0,116
2024-03-28,CV001,358,353,10.26,13.74,130
2024-03-28,DR001,681,659,0.0,24.0,118
2024-03-28,WL001,683,662,0.0,24.0,114
2024-03-29,EX001,669,637,0.0,24.0,123
2024-03-29,DT001,693,659,0.0,24.0,120
2024-03-29,CR001,682,652,0.0,24.0,119
2024-03-29,CV001,639,629,0.0,24.0,122
2024-03-29,DR001,717,689,0.0,24.0,111
2024-03-29,WL001,619,605,0.0,24.0,128
2024-03-30,EX001,678,653,0.0,24.0,116
2024-03-30,DT001,739,716,0.0,24.0,113
2024-03-30,CR001,717,693,0.0,24.0,110
2024-03-30,CV001,645,626,0.0,24.0,121
2024-03-30,DR001,735,721,0.0,24.0,115
2024-03-30,WL001,735,699,0.0,24.0,112
2024-03-31,EX001,702,670,0.0,24.0,112
2024-03-31,DT001,691,672,0.0,24.0,122
2024-03-31,CR001,685,674,0.0,24.0,114
2024-03-31,CV001,562,537,5.5,18.5,113
2024-03-31,DR001,641,629,0.0,24.0,123
2024-03-31,WL001,691,663,0.0,24.0,119
2024-04-01,EX001,637,621,0.0,24.0,124
2024-04-01,DT001,680,661,0.0,24.0,119
2024-04-01,CR001,625,597,0.0,24.0,126
2024-04-01,CV001,650,645,0.0,24.0,120
2024-04-01,DR001,718,702,0.0,24.0,110
2024-04-01,WL001,18,17,23.38,0.62,115
2024-04-02,EX001,683,659,0.0,24.0,119
2024-04-02,DT001,660,629,0.0,24.0,123
2024-04-02,CR001,711,675,0.0,24.0,114
